sequence_id,label,frame_number,timestamp_ms,pelvis_x,pelvis_y,shoulder_x,shoulder_y,trunk_angle_deg,ankle_gap,left_stride_extent,right_stride_extent,core_visibility_min,core_visibility_mean,pelvis_x_smooth,pelvis_y_smooth,trunk_angle_deg_smooth,left_stride_extent_smooth,right_stride_extent_smooth
adl-01-cam0-rgb,adl,15,462,0.728228747844696,0.5112988352775574,0.7321620285511017,0.3686087876558304,1.5789701843608814,0.06844019889831543,0.02208632230758667,0.04635387659072876,0.8124359846115112,0.9419158697128296,0.730588994423548,0.5154946328112571,1.6451625718430654,0.022740398573152923,0.04603450460867448
adl-01-cam0-rgb,adl,17,528,0.725318193435669,0.5121305286884308,0.7261999547481537,0.3708938807249069,0.3577013905421141,0.05632275342941284,0.022629737854003906,0.033693015575408936,0.7878051996231079,0.9320405622323354,0.7227804054816561,0.5096736702052028,0.65038038857423,0.026233650427876083,0.03516714563875488
adl-01-cam0-rgb,adl,19,594,0.7171868979930878,0.5115671753883362,0.7185109257698059,0.37227772176265717,0.544613514312707,0.05849051475524902,0.030697494745254517,0.027793020009994507,0.7766667604446411,0.9265458385149637,0.7155161900179725,0.5047050311193837,-0.13524819537285615,0.027909191810723495,0.025973447550942892
adl-01-cam0-rgb,adl,21,660,0.7080119848251343,0.49932345747947693,0.7070507407188416,0.3693014085292816,-0.4235760585458399,0.05283081531524658,0.03482937812805176,0.018001437187194824,0.792329728603363,0.9314180811246237,0.7087963480324971,0.5005887155537996,-0.7117231799981933,0.02776702272169517,0.018453410345238532
adl-01-cam0-rgb,adl,23,726,0.7023046612739563,0.49429240822792053,0.6982275545597076,0.3655268996953964,-1.8135523367224784,0.03530949354171753,0.02245354652404785,0.012855947017669678,0.8021275997161865,0.9341503282388052,0.7026208795252291,0.49732472350845014,-1.0790445653017808,0.025807143160791066,0.012607034021641768
adl-01-cam0-rgb,adl,25,792,0.6965064406394958,0.493146076798439,0.6929544806480408,0.36294037103652954,-1.562618587282431,0.03201335668563843,0.02453702688217163,0.007476329803466797,0.8039074540138245,0.9350074032942454,0.6960859530931933,0.493689010669658,-1.1948874237114677,0.02059042169934224,0.008950656626647673
adl-01-cam0-rgb,adl,27,858,0.6908267736434937,0.4924572557210922,0.6888225972652435,0.36237889528274536,-0.8827122530546041,0.01713782548904419,0.010581612586975098,0.006556212902069092,0.7750627994537354,0.9256360828876495,0.691084332022315,0.49190907670563877,-1.231723897698806,0.013383253828271623,0.006224788370586569
adl-01-cam0-rgb,adl,29,924,0.6872432231903076,0.49339158833026886,0.6859554946422577,0.36175602674484253,-0.5604796806739542,0.00018423795700073242,0.005036890506744385,0.004852652549743652,0.7668122053146362,0.9237402180830637,0.6873375507660232,0.49273475507895076,-0.9003504807171855,0.00760547113625001,0.004694879571080718
adl-01-cam0-rgb,adl,31,990,0.684292197227478,0.4938848912715912,0.6827443540096283,0.3625330626964569,-0.675139280999969,0.010971605777740479,0.004880964756011963,0.006090641021728516,0.7283806204795837,0.9180675148963928,0.6844085533639559,0.4938427925238871,-0.45875541068064307,0.005003620148737186,0.003982588713303268
adl-01-cam0-rgb,adl,33,1056,0.6824333667755127,0.49406731128692627,0.6813874840736389,0.36148014664649963,-0.4519549230883078,0.001287221908569336,0.0025168657302856445,0.0038040876388549805,0.7189591526985168,0.9173834721247355,0.6827725485547786,0.49458137006212555,-0.33234077916437943,0.0018203329472314725,0.004311272463241175
adl-01-cam0-rgb,adl,35,1122,0.6820651590824127,0.49526143074035645,0.68173548579216,0.360907718539238,-0.14059046028867478,5.59687614440918e-05,0.0035248100757598877,0.0035807788372039795,0.6934608221054077,0.9138800303141276,0.6820823271553227,0.49517566765541565,-0.36081928844036115,0.0015975353005644546,0.004936662845281289
adl-01-cam0-rgb,adl,37,1188,0.6819227933883667,0.4961968809366226,0.6811911463737488,0.3551788330078125,-0.29726627553297225,0.005431711673736572,0.002984464168548584,0.008416175842285156,0.694197952747345,0.9117162227630615,0.6818612752022672,0.49523209803032076,-0.44908150673503355,0.002317233519120647,0.008001311774893747
adl-01-cam0-rgb,adl,39,1254,0.6823712587356567,0.49409493803977966,0.6803804636001587,0.3479997217655182,-0.7807038639791952,0.01193934679031372,0.00018906593322753906,0.01212841272354126,0.7005215883255005,0.9119751354058584,0.6819711859092041,0.4943702308646521,-0.5899915237993463,0.004288012847239831,0.013672457886980707
adl-01-cam0-rgb,adl,41,1320,0.6820009052753448,0.4935804605484009,0.6797908246517181,0.3447749614715576,-0.8509025763065454,0.011552631855010986,0.006202608346939087,0.017755240201950073,0.7146419286727905,0.9164412220319113,0.682135445472997,0.49287335600429727,-0.8357588059727357,0.007564978166060004,0.02050455566092484
adl-01-cam0-rgb,adl,43,1386,0.6818090379238129,0.4912538677453995,0.6789049208164215,0.3419693261384964,-1.114466818601196,0.01672804355621338,0.012803584337234497,0.029531627893447876,0.7345268726348877,0.9226566553115845,0.6818960484488176,0.4908427536745601,-1.0822487643705694,0.011150064664485634,0.026626837718022295
adl-01-cam0-rgb,adl,45,1452,0.6813953816890717,0.48815369606018066,0.6779448986053467,0.33801135420799255,-1.3165062041799995,0.019568920135498047,0.015391439199447632,0.03496035933494568,0.7496883869171143,0.9282106856505076,0.6812612542084275,0.4894109341231253,-1.268591747073052,0.012751842086965368,0.031234258310103263
